Variable;Marca;Tipo;Categoria
Marca;GEELY;Marcas Chinas;Automóviles y SUVs
Marca;GREAT WALL;Marcas Chinas;Automóviles y SUVs
Marca;HAVAL;Marcas Chinas;Automóviles y SUVs
Marca;JAC;Marcas Chinas;Automóviles y SUVs
Marca;JETOUR;Marcas Chinas;Automóviles y SUVs
Marca;JIAYUAN;Marcas Chinas;Automóviles y SUVs
Marca;JINBEI;Marcas Chinas;Automóviles y SUVs
Marca;JINMA;Marcas Chinas;Automóviles y SUVs
Marca;KAIYI;Marcas Chinas;Automóviles y SUVs
Marca;KAWEI AUTO;Marcas Chinas;Automóviles y SUVs
Marca;KENBO;Marcas Chinas;Automóviles y SUVs
Marca;KEYTON;Marcas Chinas;Automóviles y SUVs
Marca;LEAPMOTOR;Marcas Chinas;Automóviles y SUVs
Marca;MG;Marcas Chinas;Automóviles y SUVs
Marca;NETA;Marcas Chinas;Automóviles y SUVs
Marca;QINGLING;Marcas Chinas;Automóviles y SUVs
Marca;SKYWELL;Marcas Chinas;Automóviles y SUVs
Marca;SOUEAST;Marcas Chinas;Automóviles y SUVs
Marca;VENUCIA;Marcas Chinas;Automóviles y SUVs
Marca;ZEDRIV;Marcas Chinas;Automóviles y SUVs
Marca;ZXAUTO;Marcas Chinas;Automóviles y SUVs
Marca;BEIBEN;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;DAF;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;FOTON;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;FREIGHTLINER;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;HINO;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;HOMAN;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;INTERNATIONAL;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;ISUZU;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;IVECO;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;KENWORTH;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;MACK;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;MAN;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;MERCEDES BENZ;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;PETERBILT;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;SCANIA;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;SHACMAN;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;SINOTRUK;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;SITRAK;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;TATA;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;UD TRUCKS;Camiones Pesados;Vehículos Comerciales y Camiones
Marca;BAXY;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;CAMC;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;CF MOTO;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;DONGFENG;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;DUKARE;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;FAW;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;FOTON;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;FUSO;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;GOLDEN DRAGON;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;HIGER;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;JMC;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;KAMA;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;KARRY;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;MAXUS;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;QINGLING;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;URVANE MOVILITY;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;YUTONG;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;ZHONGTONG;Vehículos Comerciales Ligeros;Vehículos Comerciales y Camiones
Marca;APRILIA;Marcas Premium;Motocicletas
Marca;BMW;Marcas Premium;Motocicletas
Marca;DUCATI;Marcas Premium;Motocicletas
Marca;HARLEY DAVIDSON;Marcas Premium;Motocicletas
Marca;HUSQVARNA;Marcas Premium;Motocicletas
Marca;KAWASAKI;Marcas Premium;Motocicletas
Marca;KTM;Marcas Premium;Motocicletas
Marca;MOTO GUZZI;Marcas Premium;Motocicletas
Marca;MV AGUSTA;Marcas Premium;Motocicletas
Marca;TRIUMPH;Marcas Premium;Motocicletas
Marca;BAJAJ;Marcas Estándar;Motocicletas
Marca;BENELLI;Marcas Estándar;Motocicletas
Marca;BERA;Marcas Estándar;Motocicletas
Marca;BETA;Marcas Estándar;Motocicletas
Marca;DAYTONA;Marcas Estándar;Motocicletas
Marca;FANTIC;Marcas Estándar;Motocicletas
Marca;GASGAS;Marcas Estándar;Motocicletas
Marca;HONDA;Marcas Estándar;Motocicletas
Marca;KEEWAY;Marcas Estándar;Motocicletas
Marca;KYMCO;Marcas Estándar;Motocicletas
Marca;LONCIN;Marcas Estándar;Motocicletas
Marca;MOTO MORINI;Marcas Estándar;Motocicletas
Marca;PIAGGIO;Marcas Estándar;Motocicletas
Marca;RIEJU;Marcas Estándar;Motocicletas
Marca;ROYAL ENFIELD;Marcas Estándar;Motocicletas
Marca;SENKE;Marcas Estándar;Motocicletas
Marca;SHERCO;Marcas Estándar;Motocicletas
Marca;SYM;Marcas Estándar;Motocicletas
Marca;THUNDER;Marcas Estándar;Motocicletas
Marca;TVS;Marcas Estándar;Motocicletas
Marca;UM;Marcas Estándar;Motocicletas
Marca;VESPA;Marcas Estándar;Motocicletas
Marca;VOGE;Marcas Estándar;Motocicletas
Marca;YAMAHA;Marcas Estándar;Motocicletas
Marca;ZONGSHEN;Marcas Estándar;Motocicletas
Marca;ZONTES;Marcas Estándar;Motocicletas
Marca;AKT;Otras Marcas de Motos;Motocicletas
Marca;AMERICAN STYLE;Otras Marcas de Motos;Motocicletas
Marca;AXXO;Otras Marcas de Motos;Motocicletas
Marca;B&M;Otras Marcas de Motos;Motocicletas
Marca;BIGGER;Otras Marcas de Motos;Motocicletas
Marca;BOSUER;Otras Marcas de Motos;Motocicletas
Marca;BULTACO;Otras Marcas de Motos;Motocicletas
Marca;CAN-AM;Otras Marcas de Motos;Motocicletas
Marca;COBRA;Otras Marcas de Motos;Motocicletas
Marca;DAYANG;Otras Marcas de Motos;Motocicletas
Marca;DAYUN;Otras Marcas de Motos;Motocicletas
Marca;ELITE;Otras Marcas de Motos;Motocicletas
Marca;FACTORY BIKE;Otras Marcas de Motos;Motocicletas
Marca;GALARDI;Otras Marcas de Motos;Motocicletas
Marca;GAS GAS;Otras Marcas de Motos;Motocicletas
Marca;HAOJUE;Otras Marcas de Motos;Motocicletas
Marca;HIGHPER;Otras Marcas de Motos;Motocicletas
Marca;HISUN;Otras Marcas de Motos;Motocicletas
Marca;HUSTCORP;Otras Marcas de Motos;Motocicletas
Marca;JIALING;Otras Marcas de Motos;Motocicletas
Marca;JIANSHE MOTOR;Otras Marcas de Motos;Motocicletas
Marca;JINCHENG;Otras Marcas de Motos;Motocicletas
Marca;JINPENG;Otras Marcas de Motos;Motocicletas
Marca;KAYO;Otras Marcas de Motos;Motocicletas
Marca;KULL;Otras Marcas de Motos;Motocicletas
Marca;MECANIZA;Otras Marcas de Motos;Motocicletas
Marca;MOTOR 1;Otras Marcas de Motos;Motocicletas
Marca;MZ BIKES;Otras Marcas de Motos;Motocicletas
Marca;ORION;Otras Marcas de Motos;Motocicletas
Marca;OROMOTO;Otras Marcas de Motos;Motocicletas
Marca;PEGASO;Otras Marcas de Motos;Motocicletas
Marca;PRIX MOTORS;Otras Marcas de Motos;Motocicletas
Marca;QINGQI;Otras Marcas de Motos;Motocicletas
Marca;SEGWAY;Otras Marcas de Motos;Motocicletas
Marca;SHINERAY;Otras Marcas de Motos;Motocicletas
Marca;STIFF;Otras Marcas de Motos;Motocicletas
Marca;STIFF 150;Otras Marcas de Motos;Motocicletas
Marca;T RIDE;Otras Marcas de Motos;Motocicletas
Marca;T-RIDE;Otras Marcas de Motos;Motocicletas
Marca;TAO MOTOR;Otras Marcas de Motos;Motocicletas
Marca;TEKNO;Otras Marcas de Motos;Motocicletas
Marca;TRS;Otras Marcas de Motos;Motocicletas
Marca;VELOCIFERO;Otras Marcas de Motos;Motocicletas
Marca;VENTO;Otras Marcas de Motos;Motocicletas
Marca;VICTORY;Otras Marcas de Motos;Motocicletas
Marca;VYCAST;Otras Marcas de Motos;Motocicletas
Marca;YCF;Otras Marcas de Motos;Motocicletas
Marca;Z1;Otras Marcas de Motos;Motocicletas
Marca;BYD;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;CENNTRO;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;ELECTRIC HOUSE;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;LEAPMOTOR;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;NETA;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;NIMBUS;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;TESLA;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;VENUCIA;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;VOYAH;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;ZEDRIV;Vehículos Eléctricos;Vehículos Eléctricos Especializados
Marca;DALLARA;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;FARDIER;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;FERRARA;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;HME;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;OSHKOSH;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;PIERCE;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;SALISBURY;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;SANY;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;SUTPHEN;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;ZEUS;Equipos de Emergencia/Especiales;Equipos Especiales/Industriales
Marca;AGRALE;Marcas No Clasificadas;Otros
Marca;AVANTIER;Marcas No Clasificadas;Otros
Marca;BAZN;Marcas No Clasificadas;Otros
Marca;BRILLIANCE;Marcas No Clasificadas;Otros
Marca;BRP;Marcas No Clasificadas;Otros
Marca;CNJ;Marcas No Clasificadas;Otros
Marca;CORONEL MX;Marcas No Clasificadas;Otros
Marca;DAEWOO;Marcas No Clasificadas;Otros
Marca;DAX;Marcas No Clasificadas;Otros
Marca;DS;Marcas No Clasificadas;Otros
Marca;EICHER;Marcas No Clasificadas;Otros
Marca;GNE 200;Marcas No Clasificadas;Otros
Marca;HERO;Marcas No Clasificadas;Otros
Marca;HUANGHAI;Marcas No Clasificadas;Otros
Marca;HUASHA;Marcas No Clasificadas;Otros
Marca;IGM;Marcas No Clasificadas;Otros
Marca;ICS;Marcas No Clasificadas;Otros
Marca;JCM;Marcas No Clasificadas;Otros
Marca;JP1;Marcas No Clasificadas;Otros
Marca;JUNENG;Marcas No Clasificadas;Otros
Marca;KAILI;Marcas No Clasificadas;Otros
Marca;KAMAX;Marcas No Clasificadas;Otros
Marca;KINGDOM AUTO CAR;Marcas No Clasificadas;Otros
Marca;LIVAN;Marcas No Clasificadas;Otros
Marca;MARUTI;Marcas No Clasificadas;Otros
Marca;MTI;Marcas No Clasificadas;Otros
Marca;NANFANG;Marcas No Clasificadas;Otros
Marca;PEGASSO;Marcas No Clasificadas;Otros
Marca;POLARIS;Marcas No Clasificadas;Otros
Marca;RCJ;Marcas No Clasificadas;Otros
Marca;RIDDARA;Marcas No Clasificadas;Otros
Marca;SDAC;Marcas No Clasificadas;Otros
Marca;SHM;Marcas No Clasificadas;Otros
Marca;SONLINK;Marcas No Clasificadas;Otros
Marca;SSANGYONG;Marcas No Clasificadas;Otros
Marca;SUKIDA;Marcas No Clasificadas;Otros
Marca;TUKO;Marcas No Clasificadas;Otros
Marca;TUNDRA;Marcas No Clasificadas;Otros
Marca;UNO;Marcas No Clasificadas;Otros
Marca;VGA;Marcas No Clasificadas;Otros
Marca;VGV;Marcas No Clasificadas;Otros
Marca;VOLKAN;Marcas No Clasificadas;Otros
Marca;WEICHAI;Marcas No Clasificadas;Otros
Marca;XGJAO;Marcas No Clasificadas;Otros
Marca;ZFKY;Marcas No Clasificadas;Otros
Marca;ZITRO;Marcas No Clasificadas;Otros
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;

